buyer,buyer_country,buyer_region,buyer_type,approach_status,priority,confirmed_deals_in_dataset,lead_notes,source_url,source_publisher,accessed_date
Blackstone,USA,USA,private_equity,active,high,5,Strong marketplace travel and consumer services route including Adevinta Merlin VFS Global AutoScout24 and Skroutz,https://www.blackstone.com/news/press/,Blackstone,2026-07-02
Hellman and Friedman,USA,USA,private_equity,active,high,5,Strong European marketplace fintech and software route including AutoScout24 zooplus Nets and TeamSystem,https://hf.com/our-portfolio/,Hellman and Friedman,2026-07-02
KKR,USA,USA,private_equity,active,high,7,Strong European consumer healthcare beauty food travel retail and software route including Accell Karo Wella Upfield Roompot and Exact,https://www.kkr.com/invest/portfolio,KKR,2026-07-02
Thoma Bravo,USA,USA,private_equity,active,medium,2,Strong UK software route including Sophos and Darktrace but lower consumer relevance,https://www.thomabravo.com/press-releases,Thoma Bravo,2026-07-02
Vista Equity Partners,USA,USA,private_equity,active,medium,1,Software buyer route with Pipedrive and possible further European SaaS targets,https://www.vistaequitypartners.com/about/companies/,Vista Equity Partners,2026-07-02
Silver Lake,USA,USA,private_equity,active,medium,0,Technology investor route with Exact minority and Software AG history worth follow-up,https://www.silverlake.com/,Silver Lake,2026-07-02
General Atlantic,USA,USA,growth_equity,active,medium,0,Minority growth route for European apps such as Flo Health and Brevo but usually not control deals,https://www.generalatlantic.com/investments/,General Atlantic,2026-07-02
Hillhouse Investment,China,China,private_equity,active,high,1,China-linked buyer route already found Philips Domestic Appliances and may reveal more European carve-outs,https://www.philips.com/a-w/about/news/archive/standard/news/press/2021/20210902-philips-completes-sale-of-domestic-appliances-business-to-global-investment-firm-hillhouse-investment.html,Philips,2026-07-02
Francisco Partners,USA,USA,private_equity,backlog,medium,0,Technology buyer route with European software assets but needs consumer relevance filtering,https://www.franciscopartners.com/media,Francisco Partners,2026-07-02
Apollo Global Management,USA,USA,private_equity,backlog,medium,0,Potential UK retail and services buyer route for follow-up,https://www.apollo.com/insights-news/pressreleases,Apollo,2026-07-02
Bain Capital,USA,USA,private_equity,backlog,medium,0,Potential European consumer and services buyer route for follow-up,https://www.baincapital.com/news,Bain Capital,2026-07-02
Carlyle,USA,USA,private_equity,backlog,medium,1,Already has END. in dataset and may reveal more European consumer brands,https://www.carlyle.com/media-room/news-release-archive,Carlyle,2026-07-02
Clayton Dubilier and Rice,USA,USA,private_equity,backlog,medium,1,Already has Morrisons in dataset and may reveal more UK retail assets,https://www.cdr-inc.com/newsroom,Clayton Dubilier and Rice,2026-07-02
TPG,USA,USA,private_equity,backlog,low,0,Software and consumer route but first pass produced fewer Europe consumer control deals,https://www.tpg.com/news-and-insights,TPG,2026-07-02
